serial_number	cathode_luminous_sens	anode_luminous_sens	anode_dark_current	cathode_blue_sens	gain
HB9050	74.7	89.6	0.01	9.44	1.20E+06
HB9029	65.2	70.8	0.01	9.00	1.09E+06
HB9041	78.3	98.3	0.02	9.44	1.26E+06
HB9090	73.7	88.4	0.04	8.72	1.20E+06
HB9099	68.0	65.0	0.01	9.36	9.56E+05
HB9103	72.3	67.1	0.01	9.67	9.28E+05
HB9104	78.0	87.6	0.01	9.73	1.12E+06
HB9105	79.4	85.9	0.03	9.78	1.08E+06
HB9113	65.3	66.0	0.01	8.99	1.01E+06
HB9197	59.4	64.4	0.01	8.06	1.08E+06
HB8825	65.2	53.4	0.01	8.70	8.19E+05
HB8926	62.8	52.1	0.01	8.88	8.30E+05
HB9001	66.5	54.8	0.02	9.00	8.24E+05
HB8736	68.4	56.3	0.02	9.31	8.23E+05
HB8681	65.5	53.5	0.01	9.27	8.17E+05
HB9076	78.5	68.5	0.02	9.72	8.73E+05
HB9180	52.8	48.4	0.01	7.20	9.17E+05
HB9188	65.2	64.3	0.02	8.25	9.86E+05
HB9190	78.0	77.5	0.01	9.47	9.94E+05
HB9191	63.7	63.0	0.01	7.88	9.89E+05
HB9193	63.6	68.9	0.01	7.65	1.08E+06
HB9195	53.2	56.0	0.01	7.12	1.05E+06
HB9196	59.2	63.8	0.01	8.05	1.08E+06
HB9198	75.8	95.8	0.01	9.65	1.26E+06
HB9201	64.8	58.5	0.01	9.05	9.03E+05
HB9206	61.3	88.3	0.02	7.70	1.44E+06
HB9207	61.2	69.5	0.01	7.63	1.14E+06
HB8826	71.2	61.1	0.04	9.25	8.58E+05
HB8828	55.6	45.1	0.10	7.83	8.11E+05
HB8943	68.5	60.1	0.01	9.04	8.77E+05
HB8989	84.7	72.0	0.02	10.00	8.50E+05
HB8995	74.3	59.9	0.02	9.79	8.06E+05
HB9010	67.1	55.5	0.02	9.37	8.27E+05
HB9030	63.1	54.3	0.01	9.01	8.61E+05
HB9044	83.1	69.4	0.02	9.95	8.35E+05
HB9049	69.6	58.6	0.01	9.41	8.42E+05
HB9060	75.1	60.4	0.01	9.57	8.04E+05
HB9055	69.9	59.4	0.01	9.49	8.50E+05
HB8988	75.9	61.4	0.01	9.64	8.09E+05
HB8723	63.1	54.1	0.01	8.93	8.57E+05
HB8660	70.0	57.9	0.02	9.34	8.27E+05
HB9068	74.8	63.6	0.01	9.83	8.50E+05
HB9073	74.0	64.2	0.01	9.65	8.68E+05
HB9078	74.8	66.9	0.02	8.42	8.94E+05
HB9114	64.4	55.0	0.01	9.04	8.54E+05
HB9062	74.1	73.3	0.02	9.39	9.89E+05
HB9045	77.1	73.9	0.03	9.60	9.58E+05
HB9047	58.2	63.2	0.02	7.24	1.09E+06
HB9048	78.2	74.2	0.01	9.54	9.49E+05
HB8743	67.4	73.1	0.03	9.17	1.08E+06
HB8718	60.1	34.8	0.01	8.55	5.79E+05
HB8719	56.3	35.3	0.00	8.12	6.27E+05
HB9181	43.8	41.4	0.01	6.21	9.45E+05
HB9182	46.5	42.1	0.01	6.69	9.05E+05
HB9183	46.0	45.8	0.01	6.25	9.96E+05
HB9185	48.4	70.5	0.02	6.55	1.46E+06
HB8690	67.4	38.6	0.01	9.09	5.73E+05
HB8691	70.5	43.0	0.01	9.55	6.10E+05
HB8692	67.1	43.6	0.01	9.19	6.50E+05
HB8978	65.2	39.2	0.01	9.24	6.01E+05
HB8980	70.7	44.0	0.01	9.43	6.22E+05
HB8852	72.7	50.3	0.01	9.25	6.92E+05
HB8901	73.4	47.9	0.01	9.48	6.53E+05
HB9096	62.5	45.3	0.01	9.09	7.25E+05
HB9116	74.0	57.0	0.01	9.31	7.70E+05
HB9119	81.8	59.5	0.01	9.89	7.27E+05
HB9120	71.2	53.9	0.01	9.58	7.57E+05
HB9121	65.7	50.0	0.01	8.45	7.61E+05
HB9123	81.4	55.1	0.02	9.88	6.77E+05
HB8694	66.5	52.4	0.01	9.18	7.88E+05
HB8997	73.6	54.7	0.01	9.24	7.43E+05
HB8999	69.1	39.7	0.01	8.91	5.75E+05
HB9006	68.2	41.1	0.01	9.46	6.03E+05
HB9118	71.3	59.9	0.01	9.31	8.40E+05
HB9143	67.1	58.9	0.01	9.03	8.78E+05
HB9133	68.7	55.3	0.01	9.35	8.05E+05
HB9148	69.9	61.0	0.02	9.50	8.73E+05
HB9155	61.4	55.2	0.01	8.86	8.99E+05
HB9164	63.5	52.7	0.01	9.00	8.30E+05
HB9166	64.7	58.1	0.01	9.10	8.98E+05
HB9169	72.3	61.5	0.01	9.03	8.51E+05
HB9174	61.2	50.7	0.01	8.74	8.28E+05
HB9202	54.8	45.6	0.01	8.09	8.32E+05
HB9203	67.1	60.2	0.01	9.01	8.97E+05
HB9210	61.2	51.6	0.01	8.03	8.43E+05
HB9007	67.2	47.8	0.03	9.23	7.11E+05
HB9008	61.8	37.1	0.01	8.70	6.00E+05
HB9009	58.4	33.6	0.01	8.68	5.75E+05
HB8669	74.9	52.8	0.01	9.73	7.05E+05
HB9023	68.4	51.5	0.01	9.38	7.53E+05
HB9025	70.4	44.0	0.01	9.42	6.25E+05
HB9036	59.8	45.2	0.01	9.03	7.56E+05
HB8672	77.2	43.5	0.01	9.76	5.63E+05
HB8673	77.3	45.5	0.01	9.77	5.89E+05
HB8675	70.4	41.0	0.01	9.25	5.82E+05
HB9017	75.0	48.0	0.01	9.81	6.40E+05
HB8679	68.8	49.6	0.01	8.93	7.21E+05
HB8769	69.7	50.7	0.01	9.31	7.27E+05
HB8979	72.7	54.5	0.01	9.55	7.50E+05
HB9037	60.8	45.7	0.01	8.93	7.52E+05
HC0827	63.8	48.3	0.03	9.19	7.57E+05
HC0830	63.3	42.8	0.03	9.21	6.76E+05
HC0834	66.4	43.0	0.07	9.29	6.48E+05
HC0836	69.7	54.5	0.08	9.45	7.82E+05
HC0838	62.8	46.1	0.03	9.04	7.34E+05
HC0839	65.1	44.0	0.04	9.19	6.76E+05
HC0841	64.7	44.3	0.03	9.22	6.85E+05
HC0842	63.6	51.0	0.04	9.09	8.02E+05
HC0843	63.7	44.9	0.04	9.19	7.05E+05
HC0844	61.2	41.0	0.03	9.05	6.70E+05
HC0845	64.4	42.5	0.04	9.13	6.60E+05
HC0846	63.7	46.3	0.03	9.13	7.27E+05
HC0847	63.0	47.9	0.03	9.14	7.60E+05
HC0848	74.0	65.7	0.03	9.43	8.88E+05
HC0850	84.2	74.3	0.02	9.95	8.82E+05
HC0851	84.8	65.3	0.01	9.96	7.70E+05
HC0852	79.2	60.1	0.01	9.71	7.59E+05
HC0853	88.5	63.6	0.02	10.10	7.19E+05
HC0854	84.6	80.7	0.01	9.89	9.54E+05
HC0855	80.1	63.1	0.02	9.72	7.88E+05
HC0856	82.5	62.5	0.01	9.98	7.58E+05
HC0857	90.7	68.5	0.01	10.30	7.55E+05
HC0858	87.3	47.0	0.01	10.10	5.38E+05
HC0859	84.6	53.1	0.01	10.00	6.28E+05
HC0860	81.7	48.1	0.02	9.86	5.89E+05
HC0862	80.5	45.6	0.01	9.68	5.66E+05
HC0865	84.4	50.0	0.01	9.87	5.92E+05
HC0869	81.3	48.0	0.02	9.70	5.90E+05
HC0870	75.3	28.6	0.02	9.50	3.80E+05
HC0872	85.3	63.3	0.02	10.10	7.42E+05
HC0873	84.0	61.2	0.01	10.00	7.29E+05
HC0874	85.0	52.7	0.01	10.10	6.20E+05
HC0875	83.5	59.0	0.01	9.96	7.07E+05
HC0876	89.9	71.6	0.02	10.30	7.96E+05
HC0878	86.4	51.6	0.01	10.10	5.97E+05
HC0879	84.5	50.8	0.01	10.10	6.01E+05
HC0884	73.5	52.7	0.12	9.43	7.17E+05
HC0885	71.0	47.4	0.05	9.29	6.68E+05
BAC7007	108.0	163.0	0.01	12.40	1.51E+06
BAC9656	112.0	501.0	0.16	12.80	4.47E+06
BAC9660	112.0	548.0	0.02	13.20	4.89E+06
BAC9661	112.0	517.0	0.02	13.10	4.62E+06
BAC9664	121.0	596.0	0.02	13.40	4.93E+06
BAC9666	117.0	554.0	0.02	13.20	4.74E+06
BAC9667	115.0	560.0	0.02	13.30	4.87E+06
BAC9668	117.0	554.0	0.02	13.30	4.74E+06
BAC9671	117.0	522.0	0.02	13.20	4.46E+06
BAC9673	116.0	562.0	0.03	13.20	4.84E+06
BAC9675	114.0	459.0	0.02	13.00	4.03E+06
BAC9678	113.0	467.0	0.46	13.00	4.13E+06
BAC9688	109.0	517.0	0.02	12.80	4.74E+06
BAC9689	109.0	534.0	0.06	12.70	4.90E+06
BAC9690	113.0	404.0	0.07	13.00	3.58E+06
BAC9691	114.0	420.0	0.44	13.10	3.68E+06
BAC9692	111.0	341.0	0.06	13.00	3.07E+06
